Title,Summary,Price per night (CAD),Sale price (CAD),Number of guests,Number of bedrooms,Number of beds,Number of bathrooms,Unavailable amenities shown,Number of amenities,Overall rating,Number of reviews,Cleanliness,Accuracy,Check-in,Communication,Location,Value,Title clean,downtown,condo,view,luxury,private,parking,yorkville,suite,stylish,heart,tower,apartment,bedroom,1br,free,spacious,cozy,loft,modern,room,near,lake,entire,2br,studio,king,luxurious,lovely,central,beautiful,stun,chic,bright,home,unit,step,bed,city,annex,park,balcony,oasis,centre,close,executive,penthouse,prime,district,house,urban,west,rooftop,cute,amaze,1bdr,arena,south,retreat,corner,core,east,high,floor,quiet,entrance,subway,1bedroom,little,italy,basement,trendy,terrace,sleep,pool,charm,eaton,den,old,gym,overlook,skyline,cntower,elegant,new,queen,bdrm,ent,look,locate,location,stay,full,unique,scotiabank,family,minute,vibrant,sanctuary,Kitchen,Wifi,Dedicated workspace,City skyline view,TV,Elevator,Washer,Air conditioning,Free parking on premises,Pets allowed,Free dryer – In unit,Lake view,Bathtub,Free parking garage on premises – 1 space,Hair dryer,Waterfront,Free washer – In unit,Refrigerator,Security cameras on property,Hot tub,Pool,Courtyard view,Beach access,Dryer,Central air conditioning,Microwave,Garden view,Public or shared beach access,Harbour view,Paid washer – In building,Luggage drop – off allowed,Dryer – In unit,Free street parking,Hair Dryer,Lock on bedroom door,HDTV,Bay view,Free residential garage on premises – 1 space,Gym in building,Paid street parking off premises,Shared pool – open specific hours,Shared hot tub – open specific hours,Valley view,Free driveway parking on premises – 1 space,"42"" HDTV with Netflix, premium cable","HDTV with Amazon Prime Video, Netflix",EV charger,Ski–in/Ski–out,"Shared indoor pool – available all year, open specific hours","50"" HDTV with Netflix",Blomberg refrigerator,"Shared outdoor pool – available seasonally, open specific hours, infinity","Shared hot tub – available all year, open specific hours",Paid dryer – In building,"TV with Amazon Prime Video, Netflix, Roku","50"" TV with Netflix","50"" HDTV with Amazon Prime Video, Netflix, premium cable",AC – split–type–ductless system,Patio or balcony,Luggage drop–off allowed,High chair,Fast Wifi – 415 Mbps,"50"" HDTV with Amazon Prime Video, Fire TV, Hulu, Netflix",Fast wifi – 662 Mbps,"65"" HDTV",Canal view,"50"" HDTV with Amazon Prime Video",Free ryer – In unit,Shared pool,Private sauna,Free parking on premises – 1 space,"60"" HDTV with standard cable","50"" HDTV with Amazon Prime Video, HBO Max, Netflix, Roku",Private hot tub,Pool view,TV with standard cable,Public of shared beach access,"50"" HDTV","45"" HDTV","40"" TV with Netflix","55"" TV",Dedicated worskpace,Private patio or balcony,"70"" TV with Roku","50"" TV",TV with Netflix,Fast wifi – 522 Mbps,TV with Roku,Park view,Lake access,Piano,Fast wifi – 416 Mbps,"Shared outdoor pool – available seasonally, open specific hours"
Executive Penthouse CNTower View,Entire rental unit,439,N/A,8,3,3,2,N/A,66,5,11,5,4.9,5,5,4.9,4.8,"['executive', 'penthouse', 'cntower', 'view']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxury Penthouse DT TO | 4 Beds |Free Pkg| King Bd,Entire rental unit,569,405,8,2,4,2,N/A,N/A,5,13,4.8,4.9,4.8,5,5,4.8,"['luxury', 'penthouse', 'bed', 'free', 'pkg', 'king']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prime Condo Across CN Tower & MTCC,Entire rental unit,227,N/A,4,1,2,1,[' Carbon monoxide alarm'],33,5,12,N/A,N/A,N/A,N/A,N/A,N/A,"['prime', 'condo', 'across', 'tower', 'mtcc']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In heart of Toronto with view of lake, CN tower",Entire condo,271,220,3,1,2,1,N/A,N/A,4.67,33,4.6,4.8,4.8,4.8,5,4.5,"['heart', 'toronto', 'view', 'lake', 'tower']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superior 1+1BR Condo overlooking Yorkville & Annex,Entire condo,418,354,2,1,1,1,N/A,N/A,4.67,12,4.8,4.5,4.2,4.9,5,4.5,"['superior', '11br', 'condo', 'overlook', 'yorkville', 'annex']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic 2BR Elegant Condo in the heart ofYorkville,Entire condo,255,N/A,4,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['classic', '2br', 'elegant', 'condo', 'heart', 'ofyorkville']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxury Loft Living in Downtown,Entire rental unit,440,N/A,4,2,2,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['luxury', 'loft', 'live', 'downtown']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penthouse Corner Suite w/ Panoramic 12 FT Windows,Entire condo,560,448,4,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['penthouse', 'corner', 'suite', 'panoramic', 'window']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RivetStays - NEW! Stunning 1-BDR by the CN Tower,Entire rental unit,215,N/A,4,1,1,1,N/A,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['rivetstays', 'new', 'stun', '1bdr', 'tower']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
